id,k=1,k=3,k=5
,0.08609950542449951,0.08609950542449951,0.10529434680938721
,0.0,0.06499099731445312,0.09836983680725098
,0.0,0.33017921447753906,0.05905807018280029
,0.0,0.07683849334716797,0.12198591232299805
,0.0,0.0,1.6674346923828125
,0.0,1.2774105072021484,0.9279561042785645
,26.26322364807129,42.26003074645996,42.51157569885254
,0.3096277713775635,0.2334374189376831,0.45482826232910156
,0.0,0.17333221435546875,0.6333208084106445
,2.042599678039551,2.2353601455688477,2.1184253692626953
,0.0,0.5433120727539062,0.08724856376647949
,0.0,2.208761215209961,3.408517837524414
,0.0,0.3499898910522461,0.05951046943664551
,0.0,0.38790225982666016,0.3919808864593506
,0.0,0.23374247550964355,0.4049861431121826
,0.363006591796875,1.7780351638793945,0.6178321838378906
,0.0,0.0,0.6786060333251953
,3.522897720336914,3.676382064819336,6.377092361450195
,0.0,0.41333580017089844,0.23991775512695312
,0.05885171890258789,0.14133107662200928,0.024419069290161133
,0.0,0.9052572250366211,8.406647682189941
,0.0,0.13721942901611328,0.3808436393737793
,0.0,0.22725677490234375,0.2707939147949219
,0.5655317306518555,0.5655317306518555,0.5655317306518555
,0.8023033142089844,1.0901589393615723,0.8921735286712646
,0.0,2.4315805435180664,1.5997734069824219
,0.0,0.09948158264160156,2.5871410369873047
,0.0,0.3418843746185303,0.13343429565429688
,0.0,0.0,0.6103858947753906
,1.4979190826416016,0.41741085052490234,3.563164710998535
,0.10883045196533203,0.4324359893798828,0.052783966064453125
,0.0,0.0,0.0
,0.0,0.0,0.5169486999511719
,0.07411515712738037,0.07411515712738037,0.2011880874633789
,0.0,0.038733482360839844,1.5200729370117188
,0.3360404968261719,0.21544337272644043,0.49713134765625
,0.0,0.0,3.248950958251953
,0.0,1.521646499633789,1.521646499633789
,5.449533462524414,7.642578125,8.923097610473633
,0.0,0.8730430603027344,0.8730430603027344
,3.6652164459228516,4.759485244750977,9.437171936035156
,0.0,1.8866767883300781,1.9744758605957031
,0.0,0.7429451942443848,1.3743233680725098
,0.0,0.8615951538085938,1.8920860290527344
,0.0,0.041469573974609375,0.9218978881835938
,0.0,0.8982176780700684,0.9979276657104492
,0.0,0.0,0.0
,0.0,0.0,0.08462810516357422
,0.0,2.011343002319336,1.594186782836914
,0.0,0.8731594085693359,0.8731594085693359
,0.0,0.2074565887451172,0.5629081726074219
,0.0,4.733129501342773,4.517250061035156
,3.8568153381347656,5.040439605712891,5.400634765625
,1.5630340576171875,3.6570281982421875,4.018413543701172
,0.0,0.5510845184326172,0.14987945556640625
,1.4098224639892578,1.207916259765625,0.3080110549926758
,0.20384001731872559,0.15560579299926758,0.48079514503479004
,0.0,1.3602075576782227,3.7297439575195312
,1.5538311004638672,0.9017715454101562,0.9017715454101562
,0.0,3.2719669342041016,4.701725006103516
,22.26912498474121,21.238935470581055,21.039201736450195
,0.0,0.0,0.9043207168579102
,2.302347183227539,2.9366455078125,2.8202667236328125
,0.0,0.0,0.11300182342529297
,0.13975000381469727,0.13975000381469727,0.7597537040710449
,0.09579622745513916,0.09579622745513916,0.05963301658630371
,0.0,0.45119667053222656,1.6685256958007812
,1.3150854110717773,1.3150854110717773,1.2435007095336914
,8.060968399047852,8.060968399047852,12.188760757446289
,0.0,0.3695869445800781,0.9251213073730469
,0.0,0.6714715957641602,0.769322395324707
,0.0,1.2142486572265625,1.9787893295288086
,0.0,0.07845687866210938,0.7200851440429688
,9.175634384155273,10.45707893371582,10.685340881347656
,0.0,0.0,0.19170212745666504
,1.721186637878418,1.721186637878418,1.6246557235717773
,0.0,0.2627086639404297,0.2627086639404297
,0.0,0.0,0.6530284881591797
,0.0,0.8691315650939941,0.5270462036132812
,0.0,0.0,0.9171419143676758
,0.009172439575195312,0.009172439575195312,0.009172439575195312
,0.0,2.222902297973633,1.1260337829589844
